,ws,bs,cost
0,-100.0,-100.0,420951.08121212124
1,-99.0,-99.0,413557.2063636363
2,-98.0,-98.0,406228.88242424245
3,-97.0,-97.0,398966.1093939394
4,-96.0,-96.0,391768.8872727272
5,-95.0,-95.0,384637.21606060606
6,-94.0,-94.0,377571.0957575757
7,-93.0,-93.0,370570.52636363637
8,-92.0,-92.0,363635.5078787879
9,-91.0,-91.0,356766.0403030302
10,-90.0,-90.0,349962.12363636366
11,-89.0,-89.0,343223.7578787879
12,-88.0,-88.0,336550.94303030305
13,-87.0,-87.0,329943.6790909091
14,-86.0,-86.0,323401.966060606
15,-85.0,-85.0,316925.8039393939
16,-84.0,-84.0,310515.19272727263
17,-83.0,-83.0,304170.13242424245
18,-82.0,-82.0,297890.623030303
19,-81.0,-81.0,291676.6645454545
20,-80.0,-80.0,285528.25696969696
21,-79.0,-79.0,279445.40030303027
22,-78.0,-78.0,273428.0945454546
23,-77.0,-77.0,267476.33969696966
24,-76.0,-76.0,261590.1357575757
25,-75.0,-75.0,255769.48272727273
26,-74.0,-74.0,250014.38060606056
27,-73.0,-73.0,244324.82939393938
28,-72.0,-72.0,238700.82909090907
29,-71.0,-71.0,233142.3796969697
30,-70.0,-70.0,227649.4812121212
31,-69.0,-69.0,222222.13363636364
32,-68.0,-68.0,216860.33696969692
33,-67.0,-67.0,211564.0912121212
34,-66.0,-66.0,206333.39636363636
35,-65.0,-65.0,201168.25242424244
36,-64.0,-64.0,196068.6593939394
37,-63.0,-63.0,191034.61727272722
38,-62.0,-62.0,186066.12606060607
39,-61.0,-61.0,181163.18575757576
40,-60.0,-60.0,176325.79636363636
41,-59.0,-59.0,171553.95787878786
42,-58.0,-58.0,166847.67030303032
43,-57.0,-57.0,162206.93363636362
44,-56.0,-56.0,157631.7478787879
45,-55.0,-55.0,153122.113030303
46,-54.0,-54.0,148678.02909090905
47,-53.0,-53.0,144299.49606060603
48,-52.0,-52.0,139986.51393939395
49,-51.0,-51.0,135739.0827272727
50,-50.0,-50.0,131557.20242424242
51,-49.0,-49.0,127440.87303030302
52,-48.0,-48.0,123390.09454545454
53,-47.0,-47.0,119404.86696969694
54,-46.0,-46.0,115485.19030303031
55,-45.0,-45.0,111631.06454545453
56,-44.0,-44.0,107842.4896969697
57,-43.0,-43.0,104119.46575757574
58,-42.0,-42.0,100461.99272727272
59,-41.0,-41.0,96870.0706060606
60,-40.0,-40.0,93343.69939393939
61,-39.0,-39.0,89882.87909090909
62,-38.0,-38.0,86487.60969696968
63,-37.0,-37.0,83157.8912121212
64,-36.0,-36.0,79893.72363636363
65,-35.0,-35.0,76695.10696969698
66,-34.0,-34.0,73562.04121212121
67,-33.0,-33.0,70494.52636363637
68,-32.0,-32.0,67492.56242424241
69,-31.0,-31.0,64556.149393939384
70,-30.0,-30.0,61685.28727272727
71,-29.0,-29.0,58879.97606060606
72,-28.0,-28.0,56140.21575757576
73,-27.0,-27.0,53466.00636363636
74,-26.0,-26.0,50857.34787878788
75,-25.0,-25.0,48314.2403030303
76,-24.0,-24.0,45836.68363636363
77,-23.0,-23.0,43424.67787878788
78,-22.0,-22.0,41078.22303030303
79,-21.0,-21.0,38797.31909090909
80,-20.0,-20.0,36581.96606060606
81,-19.0,-19.0,34432.16393939394
82,-18.0,-18.0,32347.91272727273
83,-17.0,-17.0,30329.21242424242
84,-16.0,-16.0,28376.063030303034
